
26,0.15233406236018734,5.1202207801233966e-05,0.8074800184571364,0.8864671549759845,"['Starting Time:', '15:34:13']"

ID,X,Y,Z,Yaw,ORIG
25,-0.15348785906410575,0.005839121151534873,0.7870239718118164,-2.981243189704185,"['Starting Time:', '15:34:13']"

ID,X,Y,Z,Yaw,ORIG
26,0.14967243909751254,-0.010855082088557455,0.8053707028466832,0.8139624666135994,"['Starting Time:', '15:34:13']"

ID,X,Y,Z,Yaw,ORIG
28,-0.15423325229380674,0.23935262041228594,0.7857153409700943,-4.15912569960943,"['Starting Time:', '15:34:13']"

ID,X,Y,Z,Yaw,FINAL
28,-0.15423325229380674,0.23935262041228594,0.7857153409700943,-4.15912569960943,"['Starting Time:', '15:34:13']"

ID,X,Y,Z,Yaw,ORIG
25,-0.15540526461286708,-0.004668682021781809,0.793190173921626,-3.0560651305698623,"['Starting Time:', '15:34:13']"

ID,X,Y,Z,Yaw,ORIG
26,0.14701081583483772,-0.021761366384916145,0.8074800184571364,0.7414577782512142,"['Starting Time:', '15:34:13']"

ID,X,Y,Z,Yaw,ORIG
28,-0.15423325229380674,0.23935262041228594,0.7857153409700943,-4.15912569960943,"['Starting Time:', '15:34:13']"

ID,X,Y,Z,Yaw,ORIG
27,0.14447817188601716,0.22221284487552326,0.7931589442499749,4.357678077778957,"['Starting Time:', '15:34:13']"

ID,X,Y,Z,Yaw,FINAL
27,0.14447817188601716,0.22221284487552326,0.7931589442499749,4.357678077778957,"['Starting Time:', '15:34:13']"

ID,X,Y,Z,Yaw,ORIG
25,-0.15732267016162838,-0.015176485195098491,0.7993563760314357,-2.981243189704185,"['Starting Time:', '15:34:13']"

ID,X,Y,Z,Yaw,ORIG
26,0.14549136015947184,-0.027646872874299927,0.8125140427426845,0.4626376454971261,"['Starting Time:', '15:34:13']"

ID,X,Y,Z,Yaw,ORIG
28,-0.15757226685468534,0.23529853943634632,0.7889041724425699,-3.1139212582353317,"['Starting Time:', '15:34:13']"

ID,X,Y,Z,Yaw,ORIG
27,0.14447817188601716,0.22221284487552326,0.7931589442499749,4.357678077778957,"['Starting Time:', '15:34:13']"

ID,X,Y,Z,Yaw,FINAL
27,0.14447817188601716,0.22221284487552326,0.7931589442499749,4.357678077778957,"['Starting Time:', '15:34:13']"

ID,X,Y,Z,Yaw,ORIG
25,-0.16519446142475,-0.027947451015861657,0.7975885365711217,-3.1308870714355397,"['Starting Time:', '15:34:13']"

ID,X,Y,Z,Yaw,ORIG
26,0.14397190448410593,-0.03353237936368371,0.8175480670282327,0.7414577782512142,"['Starting Time:', '15:34:13']"

ID,X,Y,Z,Yaw,ORIG
28,-0.1609112814155639,0.23124445846040673,0.7910552280567029,-2.793634209422187,"['Starting Time:', '15:34:13']"

ID,X,Y,Z,Yaw,ORIG
27,0.1404906143809318,0.22169997149569398,0.7932503517366717,2.728275220439841,"['Starting Time:', '15:34:13']"

ID,X,Y,Z,Yaw,FINAL
27,0.1404906143809318,0.22169997149569398,0.7932503517366717,2.728275220439841,"['Starting Time:', '15:34:13']"

ID,X,Y,Z,Yaw,ORIG
25,-0.17350548102248056,-0.028225008217471637,0.8059102533767151,-2.981243189704185,"['Starting Time:', '15:34:13']"

ID,X,Y,Z,Yaw,ORIG
26,0.1342978727284287,-0.03353237936368371,0.820775697978813,0.183817512743038,"['Starting Time:', '15:34:13']"

ID,X,Y,Z,Yaw,ORIG
28,-0.1708510795014951,0.23124445846040673,0.7910552280567029,-2.068716816861233,"['Starting Time:', '15:34:13']"

ID,X,Y,Z,Yaw,ORIG
27,0.1365030568758464,0.2213019310480232,0.7931589442499749,1.261344804592835,"['Starting Time:', '15:34:13']"

ID,X,Y,Z,Yaw,FINAL
27,0.1365030568758464,0.2213019310480232,0.7931589442499749,1.261344804592835,"['Starting Time:', '15:34:13']"

ID,X,Y,Z,Yaw,ORIG
25,-0.17350548102248056,-0.02904105643607317,0.8073670142994649,-3.181261010529357,"['Starting Time:', '15:34:13']"

ID,X,Y,Z,Yaw,ORIG
26,0.1342978727284287,-0.034227386056654756,0.821280178970818,0.183817512743038,"['Starting Time:', '15:34:13']"

ID,X,Y,Z,Yaw,ORIG
28,-0.1708510795014951,0.23124445846040673,0.7913093273157812,-1.3546835412964617,"['Starting Time:', '15:34:13']"

ID,X,Y,Z,Yaw,ORIG
27,0.1365030568758464,0.2213019310480232,0.7933417592233685,1.261344804592835,"['Starting Time:', '15:34:13']"

ID,X,Y,Z,Yaw,FINAL
27,0.1365030568758464,0.2213019310480232,0.7933417592233685,1.261344804592835,"['Starting Time:', '15:34:13']"

ID,X,Y,Z,Yaw,ORIG
25,-0.17350548102248056,-0.02904105643607317,0.8075860715807389,-2.7026806234699303,"['Starting Time:', '15:34:13']"

ID,X,Y,Z,Yaw,ORIG
